id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18794384,Artistic Home with Large Private Backyard,10496384,Larkin,,78704,30.22924062391623,-97.76278385024047,Entire home/apt,300,2,70,2019-01-20,3.35,1,299
18795076,Private Master Suite in Earthy Artsy East ATX Casa,1619127,Steph,,78723,30.307870789698793,-97.67413978731813,Private room,49,30,1,2018-07-14,0.14,1,150
18806788,Private Room and Bath / nice home in South Austin,130926442,Quinn,,78749,30.21603017716371,-97.85869142456251,Private room,59,1,6,2018-04-22,0.29,3,0
18807173,Guadalupe: Economic Spot in Fantastic Community,8167447,Martin,,78751,30.320830202553292,-97.7262141371182,Shared room,16,29,0,,,71,314
18808384,Austin Great Hills Tree House,72159317,Don,,78759,30.391484711779317,-97.7611059738283,Private room,80,1,28,2019-02-02,2.67,1,1
18810448,Downtown Elegance in Travis Heights,118565935,The Renters Club,,78704,30.243486687425005,-97.74308441936677,Entire home/apt,3270,2,8,2018-11-15,0.43,81,349
18821997,"Cute house near Apple, The Domain, and Highways.",45028692,Marcia,,78727,30.440247984882202,-97.74377591720267,Entire home/apt,90,2,16,2018-02-11,0.78,1,0
18822549,"Clean, cozy and convenient locale",131057601,Kiara,,78722,30.28516012727923,-97.71760585445642,Entire home/apt,88,2,2,2017-07-04,0.10,1,0
18823187,Downtown Modern,118565935,The Renters Club,,78741,30.244590100558337,-97.7323981050789,Entire home/apt,4360,2,5,2018-10-14,0.30,81,51
18824299,"Private upstairs, quiet neighborhood minutes to DT",38560509,Tommy,,78749,30.214213904258795,-97.8644587364538,Private room,75,1,2,2018-10-15,0.18,1,215
18834915,Casa de Abuelos,2131360,Katie,,78757,30.353955295271422,-97.71809558952656,Entire home/apt,80,2,81,2019-01-22,4.14,1,328
18835610,ACL  - LOCATION LOCATION LOCATION,2244417,Heather,,78704,30.243746476708175,-97.78590103878156,Entire home/apt,500,3,0,,,2,0
18837313,house,128921097,Deniz,,78703,30.300451983029678,-97.75725209823567,Entire home/apt,300,2,0,,,1,0
18841010,South Austin Oasis,11298980,Lillian,,78704,30.23599686980926,-97.78045631934373,Entire home/apt,141,2,3,2017-10-14,0.15,1,135
18842108,Comfy room with private bath,131229763,Suzanne,,78757,30.337375906981038,-97.73549255649628,Private room,75,2,4,2018-10-21,0.37,4,46
18849155,"Retreat near Domain, 15 mins to downtown",43038635,Karthik,,78727,30.424089135351842,-97.67963533233802,Private room,15,2,3,2017-07-23,0.16,1,0
18853816,ESCAPE FOR THE HOLIDAY ! SAVE HUNDREDS!! BOOK NOW!!,126263802,The Lux Haus,,78704,30.25934681728334,-97.74667856548795,Entire home/apt,82,1,4,2018-12-28,1.13,23,126
18857336,"★ Gorgeous Downtown Views, Amazing Location ★",117386831,Edwin,,78702,30.262620389580267,-97.73317838527757,Entire home/apt,86,1,61,2019-01-22,3.07,2,320
18868680,Native Hostel Austin Loft Room,100663558,Native Hostel,,78702,30.26398903687901,-97.73479549158097,Shared room,325,1,2,2018-05-20,0.18,4,123
18868758,Spacious Private guest room w/sunroom - woman only,131463179,Emily,,78749,30.207253889941764,-97.87705085639905,Private room,30,1,41,2017-10-29,2.15,1,32
18873525,Private Room in Eclectic Central Austin Bungalow,10546615,Monica,,78756,30.327916717879557,-97.73199297903142,Private room,54,1,3,2018-03-18,0.27,1,0
18875355,"Adorable, Mid Century Bungalow Apt.",41162861,Max & Josie,,78704,30.230309183733016,-97.78240403718274,Entire home/apt,52,1,158,2019-01-23,7.77,2,57
18876463,"Entire Apt in West Campus, right next to Downtown",106749905,Nadeen,,78705,30.286146817089133,-97.74505401766315,Entire home/apt,80,1,10,2017-07-01,0.49,1,0
18876788,"Modern, central Austin, quiet neighborhood",1455152,Brett,,78731,30.32393451589288,-97.75246047011095,Entire home/apt,279,6,1,2017-08-01,0.05,1,86
